# field|title|primary skill|practice project
engineering|Industrial engineer|Process improvement|Map a campus service and propose two ways to reduce waiting time
engineering|Quality engineer|Quality assurance|Create an inspection checklist for a familiar manufactured item
engineering|Project engineer|Project planning|Plan the tasks, costs and risks for a small campus improvement
computer-science|Mobile app developer|Flutter|Build a small offline study planner
computer-science|Full stack developer|Web development|Build a campus club directory with sign-in and search
computer-science|DevOps engineer|Continuous integration|Automate testing and deployment for a sample application
computer-science|Cybersecurity analyst|Network security|Write a security review of your own test application
computer-science|Cloud engineer|Cloud computing|Document a small application architecture and its running costs
computer-science|Machine learning engineer|Machine learning|Evaluate a simple model on a public non-personal dataset
computer-science|Database developer|SQL|Design and query a library lending database
computer-science|IT support specialist|Technical troubleshooting|Write a troubleshooting guide for five common computer problems
medicine|Clinical medicine|Clinical documentation|Compare supervised training routes using official course information
medicine|Clinical research coordinator|Research coordination|Draft a fictional study schedule and consent-process checklist
medicine|Health informatics analyst|Health information systems|Build a dashboard from a public aggregate health dataset
pharmacy|Pharmaceutical quality analyst|Laboratory documentation|Draft a sample quality-control record using fictional measurements
pharmacy|Regulatory affairs associate|Regulatory documentation|Map the sections of a public product-information document
pharmacy|Pharmaceutical production associate|Production planning|Draw a fictional production flow with quality checkpoints
nursing|Registered nursing|Patient care documentation|Compare accredited nursing routes and supervised placement requirements
nursing|Community health coordinator|Health communication|Draft a health-event plan using reviewed public education material
nursing|Patient services coordinator|Service coordination|Map a fictional clinic reception and referral workflow
business|Operations executive|Operations management|Map the order-to-delivery process of a small business
business|Supply chain analyst|Supply chain planning|Build a stock and reorder worksheet with fictional sales
business|Project coordinator|Project coordination|Plan a campus event with a timeline and responsibility chart
business|Customer success associate|Customer communication|Design an onboarding guide for a fictional software product
business|Procurement associate|Supplier evaluation|Compare three fictional supplier proposals using a scoring sheet
accounting|Audit associate|Audit documentation|Prepare a sample evidence checklist for fictional expense records
accounting|Financial analyst|Financial modelling|Compare two public annual reports using a simple ratio worksheet
accounting|Tax associate|Tax research|Create an index of official tax guidance for a sample business case
accounting|Management accountant|Cost accounting|Build a unit-cost and break-even worksheet for a fictional product
 economics|Economic research assistant|Economic data analysis|Chart a public economic time series and explain its limits
 economics|Policy analyst|Policy research|Compare two public policy proposals with an evidence table
 economics|Market research analyst|Market research|Write a short research plan for a campus service
banking|Banking operations associate|Banking operations|Map a fictional account-service request and its checks
banking|Credit analyst|Credit analysis|Review a fictional business using cash-flow and risk questions
banking|Insurance operations associate|Insurance documentation|Build a sample claim-document checklist without personal records
marketing|Brand executive|Brand strategy|Create a one-page brand brief for a fictional local product
marketing|Performance marketing analyst|Campaign measurement|Analyse a synthetic advertising dataset and propose an experiment
marketing|SEO specialist|Search engine optimisation|Audit a website you own and prioritise improvements
marketing|Social media strategist|Content planning|Plan a month of content for a fictional student service
law|Legal research assistant|Legal research|Build a source table for a publicly available legal topic
